Titulo,fecha_publicacion,Vistas,Likes,Dislikes,Comentarios
"$1 vs $1,000,000,000 Yacht!",2023-06-10T16:00:00Z,109893415,4242010,0,111581
Do Pawnshops Scam You?,2023-06-03T16:59:57Z,75976381,4492049,0,11270
"Ages 1 - 100 Fight For $500,000",2023-05-27T21:14:59Z,135115342,4588657,0,103974
"1,000 Deaf People Hear For The First Time",2023-05-06T19:59:59Z,87072872,4440847,0,154986
Would You Pet a Cheetah in Africa?,2023-05-01T20:00:02Z,177801173,9686230,0,29264
Tipping A Waitress A Car,2023-04-22T20:00:00Z,135582441,8958706,0,25250
Would you go on a Blind Date in Italy?,2023-04-15T20:00:01Z,170205377,10070853,0,15401
"$1 vs $500,000 Plane Ticket!",2023-04-01T20:00:04Z,191092136,5662538,0,158931
I Sent a Subscriber to Disneyland,2023-03-30T20:00:00Z,206792968,13277864,0,38877
I Paid A Real Assassin To Try To Kill Me,2023-03-18T20:00:01Z,153238215,4785580,0,111580
Do Men Lie About Their Height?,2023-02-14T21:00:14Z,173083230,9652423,0,20587
"1,000 Blind People See For The First Time",2023-01-28T21:00:00Z,146800183,9723347,0,401934
I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,123669206,4439952,0,151399
Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,171015338,5134895,0,132371
Would You Fly To Paris For A Baguette?,2022-12-08T20:12:27Z,786489443,36020440,0,74392
"100 Kids Vs 100 Adults For $500,000",2022-12-03T21:00:00Z,166852426,3764760,0,95739
Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19T20:59:59Z,242041107,13564162,0,28960
"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,119629909,3712604,0,103770
Giving iPhones Instead Of Candy on Halloween,2022-11-02T21:00:01Z,681853008,24873378,0,96057
"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,244084147,6045514,0,114325
"The Rock Vs MrBeast For $100,000",2022-10-21T20:00:06Z,335196303,21734488,0,58020
"Survive 100 Days In Circle, Win $500,000",2022-09-24T19:59:59Z,211680025,4756978,0,96967
I Hunted 100 People!,2022-09-03T19:59:59Z,106194621,3030812,0,67264
I Survived A Plane Crash,2022-08-20T20:00:00Z,121287527,3386012,0,77867
"I Gave My 100,000,000th Subscriber An Island",2022-08-04T19:59:59Z,150634569,5678563,0,235619
"100 Boys Vs 100 Girls For $500,000",2022-07-23T20:00:09Z,148903779,4053748,0,142843
I Didn’t Eat Food For 30 Days,2022-07-02T20:00:02Z,83405567,3396818,0,108310
I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,204453862,5773160,0,167362
"$10,000 Every Day You Survive Prison",2022-04-09T20:00:00Z,170587104,4769400,0,137921
"Would You Swim With Sharks For $100,000?",2022-03-19T20:02:32Z,141600712,3720163,0,93988
World’s Most Dangerous Escape Room!,2022-01-29T21:00:01Z,208815873,5039781,0,140125
"Extreme $1,000,000 Hide And Seek",2021-12-18T21:00:00Z,90910848,3491946,0,128204
