Titulo,fecha_publicacion,Vistas,Likes,Dislikes,Comentarios
ASIA Becoming HISTORY,2023-06-09T03:00:00Z,226337,15063,0,746
Most Peaceful Day In RUSSIA,2023-05-26T03:00:21Z,614817,38182,0,2934
IMPERIAL JAPAN vs ANIME,2023-05-12T03:00:04Z,346910,17713,0,697
Le BISMARCK Has Arrived,2023-04-28T03:00:14Z,563071,26466,0,760
A Normal Day In AFGHANISTAN,2023-04-14T04:00:19Z,825706,33748,0,1990
POV: You Are Husbant In VIETNAM,2023-03-31T04:00:20Z,536814,28053,0,1075
MAXWELL The FRENCH CAT,2023-03-17T04:00:19Z,603706,23221,0,825
Le ROMMEL Has Arrived,2023-03-03T04:00:27Z,772286,29808,0,961
Chinese POP CAT,2023-02-17T04:00:11Z,551702,25190,0,981
MAXWELL The AUSTRIAN PAINTER,2023-02-03T04:00:10Z,1209115,49657,0,1406
A Normal Day On EARTH,2023-01-20T04:00:11Z,1341150,58159,0,2417
CHINA vs ANIME,2023-01-06T04:00:12Z,1096231,41493,0,2599
Le WASHINGTON Has Arrived,2022-12-23T04:00:14Z,840978,32155,0,1425
EUROPE SLANDER,2022-12-09T04:00:26Z,622143,28711,0,802
Pop Cat Sings HARDBASS,2022-11-25T04:00:04Z,1068752,33326,0,1735
Only In OHIO,2022-11-11T04:00:29Z,1140114,45719,0,2079
A Normal Day In The FATHERLAND,2022-10-28T04:00:21Z,1281770,49535,0,1834
BALKANS: BEFORE vs AFTER,2022-10-14T04:00:00Z,816671,35376,0,1557
A Normal Day In ASIA,2022-09-30T04:00:23Z,2076319,76200,0,4271
DR.LIVESEY Travel To EVERY COUNTRY,2022-09-16T04:00:31Z,1870566,87173,0,2611
Le STALIN Has Arrived,2022-09-02T04:00:31Z,2232126,65222,0,2079
Annoying GERMAN Bird,2022-08-19T04:00:22Z,979009,42260,0,1154
ROMAN EMPIRE vs ANIME,2022-08-05T04:00:32Z,1451710,59677,0,2231
Pop Cat Sings ERIKA,2022-07-22T04:00:24Z,3373040,106165,0,3130
A Normal Day In VIETNAM,2022-07-08T04:00:01Z,5357405,153410,0,10417
Le HISTORICAL FIGURE Has Arrived,2022-06-24T04:00:24Z,2549054,75205,0,2719
No ANIME In The FATHERLAND,2022-06-10T04:00:09Z,2763179,90180,0,3164
EUROPE Becoming History,2022-05-27T04:00:13Z,2286451,79472,0,2480
ASIA: BEFORE vs AFTER,2022-05-13T04:00:13Z,2960273,101076,0,5443
A Normal Day In JAPAN,2022-04-29T04:00:31Z,2714155,98161,0,4065
Le NAPOLEON Has Arrived,2022-04-15T04:00:19Z,4387617,102976,0,3510
MOTHERLAND vs FATHERLAND,2022-04-01T04:00:15Z,2778817,83420,0,2798
Peace Talks On DISCORD,2022-03-18T04:00:14Z,732551,34856,0,1716
A Normal Day In UKRAINE,2022-03-04T04:00:07Z,2874257,112350,0,7784
POP CAT Polish ADVENTURES,2022-02-18T04:00:11Z,1569706,58102,0,2480
Le CAESAR Has Arrived,2022-02-04T04:00:12Z,3979125,103943,0,3534
EUROPE: BEFORE vs AFTER,2022-01-21T04:00:04Z,3584736,108845,0,4524
A Normal Day In CHINA,2022-01-07T04:00:06Z,11451633,352892,0,19318
MOTHERLAND vs ANIME,2021-12-24T04:00:06Z,10746398,283731,0,11741
Le TSAR Has Arrived,2021-12-10T04:00:08Z,2928869,80682,0,2421
Pop Cat In The FATHERLAND,2021-11-26T04:00:18Z,3842866,98300,0,2195
A Normal Day In EUROPE,2021-11-12T04:00:09Z,4760200,145682,0,4921
Le KAISER Has Arrived,2021-10-29T04:00:21Z,3645255,102832,0,3206
USSR Social Credit Test,2021-10-15T04:00:01Z,2859023,107389,0,3257
FATHERLAND vs ANIME,2021-10-08T04:00:06Z,6209196,175955,0,8891
A Normal Day In RUSSIA,2021-09-24T04:00:06Z,4599652,145477,0,5959
Le AUSTRIAN PAINTER Has Arrived,2021-09-10T04:00:27Z,19700127,384738,0,10004
A Normal Day In POLAND,2021-08-27T04:00:06Z,4187286,113993,0,5891
A Day In The Life Of A SERB,2021-08-13T04:00:30Z,1967641,54682,0,3754
BALKANS Anime Opening,2021-07-30T04:00:18Z,689646,29133,0,1259
Le GRAPPA ICE Has Arrived,2021-07-16T04:00:14Z,378261,17228,0,959
POLSKA vs AMOGUS,2021-07-02T04:00:11Z,864708,35749,0,1291
Le ALBANIAN Has Arrived,2021-06-18T04:00:01Z,2973004,75664,0,6956
BOSNIAN Pop Cat,2021-06-04T04:00:12Z,3620320,125566,0,4499
